,brand_name,model_name,model_image,price_min,price_max,release_year
255,Harley-Davidson,Street Bob 114,https://i1-vnexpress.vnecdn.net/2023/04/10/Screenshot1jpg-1681118922.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=A1cFkNJaGvX3LlOe60gnWQ&t=image,689.0,689.0,
256,Harley-Davidson,Heritage Classic,https://i1-vnexpress.vnecdn.net/2023/04/10/Screenshot1jpg-1681119260.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=lyHbSmtHk6JS7Dgk4Spdtg&t=image,817.0,817.0,
257,Harley-Davidson,Pan America 1250 Special,https://i1-vnexpress.vnecdn.net/2023/04/10/Screenshot1jpg-1681119554.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=vbeB5qhKrH5IAnkpOLD5zA&t=image,829.0,869.0,
258,Harley-Davidson,Breakout 117,https://i1-vnexpress.vnecdn.net/2023/07/24/AnhtongtheBreakout1171415743991690173078jpg-1690184487.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=52zgcoh-d-ugtSU67AmO-Q&t=image,939.0,939.0,2023.0
259,Harley-Davidson,Street Glide Special,https://i1-vnexpress.vnecdn.net/2023/04/10/Screenshot1jpg-1681120002.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=wgI-PcZ80PUCbhoTHB0QgA&t=image,1159.0,1159.0,
260,Harley-Davidson,CVO Road Glide Limited,https://i1-vnexpress.vnecdn.net/2023/04/11/Screenshot3jpg-1681202289.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=CJJCfWq92TcCnkQiT0TzSQ&t=image,1997.0,2285.0,
261,Harley-Davidson,Nightster Special,https://i1-vnexpress.vnecdn.net/2023/04/06/harleydavidsonNightsterjpg-1680749336.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=AjgTncjKu1CMUD0UbQPacw&t=image,,,
262,Harley-Davidson,Fat Boy 114,https://i1-vnexpress.vnecdn.net/2023/04/11/Screenshot4jpg-1681202373.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=gNmekBS-wjG1va9HJuGBew&t=image,,,
263,Harley-Davidson,Softail Standard,https://i1-vnexpress.vnecdn.net/2023/04/11/Screenshot5jpg-1681202521.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=wWitXUSCnFWkcXFX5CRrjg&t=image,,,
264,Harley-Davidson,Low Rider S,https://i1-vnexpress.vnecdn.net/2023/04/11/Screenshot6jpg-1681202596.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=ztTH5M_gM1T1oG5bJ9TwjQ&t=image,,,
265,Harley-Davidson,Fat Bob 114,https://i1-vnexpress.vnecdn.net/2023/04/11/Screenshot7jpg-1681202675.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=dKkuAB8_gR4IyBWxOlFYtw&t=image,,,
266,Harley-Davidson,Sport Glide,https://i1-vnexpress.vnecdn.net/2023/04/11/Screenshot9jpg-1681202838.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=D6-J2xCUDaollv8pcPyNhQ&t=image,,,
267,Harley-Davidson,Low Rider ST,https://i1-vnexpress.vnecdn.net/2023/04/05/avatarnbt028811653188852165318888076291653189634jpg-1680665966.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=xHMn_xqOYhUXuQfoof1I5g&t=image,,,
268,Harley-Davidson,Road Glide Special,https://i1-vnexpress.vnecdn.net/2023/04/06/55131664773977jpg-1680744274.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=L8GT2KM1sLBXXloJbwwt0A&t=image,,,
289,Harley-Davidson,Ultra Limited,https://i1-vnexpress.vnecdn.net/2023/04/11/Screenshot10jpg-1681202908.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=VZOuk38tc42aVCuCRVs6ow&t=image,,,
290,Harley-Davidson,Road King Special,https://i1-vnexpress.vnecdn.net/2023/04/11/Screenshot11jpg-1681202957.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=hZ5mzQwoRdyEsEHQbdqWRg&t=image,,,
291,Harley-Davidson,Street Glide ST,https://i1-vnexpress.vnecdn.net/2023/04/05/dsc00775164921985837051649220421jpg-1680663758.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=rYn9r2TzkcFxeF14bLL_BQ&t=image,,,
312,Aprilia,RX 125,https://i1-vnexpress.vnecdn.net/2023/04/13/02rx125rallytributescaledjpeg-1681352654.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=ZizgonIBaflbdceelrqAiQ&t=image,93.2,93.2,
313,Aprilia,SX 125,https://i1-vnexpress.vnecdn.net/2023/04/13/02SX125RallyTributejpeg-1681352894.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=g0Pf406w_tfM8QYFAUyF2A&t=image,94.2,94.2,
314,Aprilia,SR GT 200,https://i1-vnexpress.vnecdn.net/2023/04/13/13821662651173jpeg-1681352842.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=ERijcan7OYQb3XY_VsT8TQ&t=image,97.0,101.8,2022.0
315,Aprilia,Tuono 660,https://i1-vnexpress.vnecdn.net/2023/04/13/2022apriliatuono660factory801571091670405588jpeg-1681352991.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=tXF3nXSXlnooLdQT5sEp_w&t=image,475.0,475.0,
316,Aprilia,RS 660,https://i1-vnexpress.vnecdn.net/2023/04/13/IMG26531641266949jpeg-1681352155.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=u0kq9mMKCcK312EzBZ0KlQ&t=image,485.0,485.0,
317,Aprilia,Tuareg 660,https://i1-vnexpress.vnecdn.net/2023/10/16/ApriliaTuareg66020232730jpg-1697431372.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=dP0Vrn4WXTKIWyt4g0fCoA&t=image,498.0,498.0,2023.0
318,Aprilia,Tuono V4,https://i1-vnexpress.vnecdn.net/2023/04/13/2000000036jpeg-1681353079.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=5bLlccBKn-nTZyDEkod7zA&t=image,680.0,750.0,
319,Aprilia,RSV4,https://i1-vnexpress.vnecdn.net/2023/04/13/AprillaRSV4110756491642480262jpeg-1681352441.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=-uoaZoIFG3roW8ej-B1zAA&t=image,765.0,885.0,
340,Moto Guzzi,V7,https://i1-vnexpress.vnecdn.net/2023/04/13/011638091242050541833motoguzziv7stonecentenariojpeg-1681351895.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=5q4CUrtUMV1F8Eua-ZD4hA&t=image,385.0,405.0,
341,Moto Guzzi,V9,https://i1-vnexpress.vnecdn.net/2023/04/13/2jpeg-1681352053.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=MCi5B9WFbyhpSaypnpJvsg&t=image,415.0,415.0,
342,Moto Guzzi,V85 TT,https://i1-vnexpress.vnecdn.net/2023/04/13/GG24615full2jpeg-1681351999.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=MtCuf0vBDppSVYwrJJTLVQ&t=image,465.0,505.0,
