,price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
7965,9.615805480084347,2.302585092994046,11.512925464970229,Lead,10.677984278792396,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
7966,10.373491181781864,1.0986122886681098,9.405907155520158,Lead,10.677984278792396,Đang cập nhật,1,Đà Nẵng,93.51
7967,9.72913416539135,3.044522437723423,9.852194258148577,Future,10.371614421769003,Nhật Bản,3,TP. Hồ Chí Minh,98.44
7970,9.711115659888671,2.1972245773362196,10.203592144986466,Vision,10.451319901931214,Việt Nam,1,Bình Dương,94.25
7971,10.373491181781864,1.3862943611198906,9.95227771670556,Vario,10.77874793485229,Việt Nam,1,TP. Hồ Chí Minh,98.44
7972,7.90100705199242,2.9444389791664403,13.663393808298002,Nouvo,10.46310334047155,Việt Nam,1,TP. Hồ Chí Minh,98.44
7974,9.472704636443673,2.0794415416798357,11.326595886778735,Winner,10.736396675471232,Việt Nam,1,TP. Hồ Chí Minh,98.44
7975,8.496990484098719,2.833213344056216,10.151947911834128,Mio,10.165851817003619,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
7976,9.546812608597396,2.4849066497880004,11.512925464970229,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
7978,9.998797732340453,1.3862943611198906,10.239959789157341,Exciter,10.834863921828324,Việt Nam,1,Đồng Nai,93.54
7980,10.126631103850338,1.0986122886681098,10.308952660644293,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
7981,8.987196820661973,2.9444389791664403,10.308952660644293,Wave,9.975342989636557,Nhật Bản,3,Bà Rịa-Vũng Tàu,92.97
7982,9.433483923290392,2.8903717578961645,13.122363377404328,Future,10.371614421769003,Thái Lan,2,Đà Nẵng,93.51
7983,9.350102314351341,2.70805020110221,11.36048498857772,Air Blade,10.826555268689306,Việt Nam,1,Cần Thơ,91.26
7984,10.085809109330082,1.3862943611198906,10.308952660644293,Future,10.371614421769003,Việt Nam,1,Đồng Nai,93.54
7986,9.457200449907708,1.6094379124341003,11.512925464970229,Wave,9.975342989636557,Nhật Bản,3,Đắk Lắk,90.04
7987,9.210340371976184,1.3862943611198906,12.813784479239562,Wave,9.975342989636557,Việt Nam,1,TP. Hồ Chí Minh,98.44
7988,8.517193191416238,2.5649493574615367,10.831667328802697,Lead,10.677984278792396,Việt Nam,1,Long An,87.97
7990,10.532096211958502,1.6094379124341003,10.275051108968611,Vario,10.77874793485229,Nước khác,3,Tiền Giang,93.27
7991,8.699514748210191,2.8903717578961645,8.517193191416238,Air Blade,10.826555268689306,Việt Nam,1,Hà Nội,100.0
7992,10.257659366256743,2.302585092994046,11.002099841204238,SH Mode,11.02825479868109,Việt Nam,1,TP. Hồ Chí Minh,98.44
7993,9.615805480084347,1.791759469228055,8.070906088787819,Winner,10.736396675471232,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
7994,10.545341438708522,0.6931471805599453,9.416297071867572,Exciter,10.834863921828324,Việt Nam,1,Bình Dương,94.25
7999,8.974618038455112,2.1972245773362196,11.407564949312402,Nouvo,10.46310334047155,Nhật Bản,3,Bình Dương,94.25
8001,9.975808214115753,2.0794415416798357,11.225243392518447,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8002,8.881836305004146,2.5649493574615367,10.596634733096073,Future,10.371614421769003,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8004,9.615805480084347,2.4849066497880004,11.156250521031495,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8006,10.491274217438248,1.0986122886681098,9.852194258148577,Lead,10.677984278792396,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8008,8.496990484098719,2.833213344056216,10.070737771809798,Mio,10.165851817003619,Việt Nam,1,TP. Hồ Chí Minh,98.44
8009,10.275051108968611,0.6931471805599453,9.210340371976184,Winner X,10.786428304728728,Việt Nam,1,TP. Hồ Chí Minh,98.44
8010,8.98594603876032,2.70805020110221,11.251560700835821,Lead,10.677984278792396,Việt Nam,1,TP. Hồ Chí Minh,98.44
8011,9.878169744551839,2.302585092994046,10.043249494911286,Vision,10.451319901931214,Việt Nam,1,TP. Hồ Chí Minh,98.44
8014,8.987196820661973,2.302585092994046,10.239959789157341,Angela,9.800900963761027,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8017,10.541386258865595,1.9459101490553132,11.225243392518447,SH Mode,11.02825479868109,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8018,11.03488966402723,2.0794415416798357,8.294049640102028,Vario,10.77874793485229,Việt Nam,1,TP. Hồ Chí Minh,98.44
8019,8.160518247477505,2.302585092994046,10.308952660644293,Wave,9.975342989636557,Nhật Bản,3,Đà Nẵng,93.51
8020,8.824677891164198,2.833213344056216,10.451233167901064,Wave,9.975342989636557,Nhật Bản,3,Bình Dương,94.25
8023,9.581903928408666,2.3978952727983707,11.407564949312402,Exciter,10.834863921828324,Nước khác,1,TP. Hồ Chí Minh,98.44
8024,9.259130536145614,2.4849066497880004,10.275051108968611,Vision,10.451319901931214,Việt Nam,1,TP. Hồ Chí Minh,98.44
8025,8.779557455883728,2.0794415416798357,11.198214720130528,Mio,10.165851817003619,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8026,8.779557455883728,2.833213344056216,11.512925464970229,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8027,10.373491181781864,1.6094379124341003,11.289781913656018,Air Blade,10.826555268689306,Đang cập nhật,1,Cần Thơ,91.26
8031,8.476371196895983,2.6390573296152584,12.88395135395883,Wave,9.975342989636557,Hàn Quốc,3,TP. Hồ Chí Minh,98.44
8033,8.006367567650246,2.70805020110221,9.554284623436097,Attila,10.183011437286446,Đài Loan,2,Long An,87.97
8035,11.976659481202368,2.70805020110221,10.126631103850338,SH,11.6952282715884,Nước khác,3,TP. Hồ Chí Minh,98.44
8036,8.612503371220562,1.3862943611198906,9.210340371976184,Sirius,9.934743942186682,Việt Nam,1,TP. Hồ Chí Minh,98.44
8039,9.835743900449609,1.791759469228055,10.195746634481015,Exciter,10.834863921828324,Việt Nam,1,Cần Thơ,91.26
8041,8.465899897028686,2.70805020110221,10.126631103850338,Nouvo,10.46310334047155,Đang cập nhật,1,Hà Nội,100.0
8044,9.51044496442652,2.302585092994046,7.313220387090301,Exciter,10.834863921828324,Nhật Bản,3,Bình Dương,94.25
8047,8.66561319653451,2.3978952727983707,7.118826249062078,Wave,9.975342989636557,Việt Nam,1,Hà Nội,100.0
8048,8.294049640102028,2.3978952727983707,9.210340371976184,Angela,9.800900963761027,Việt Nam,1,TP. Hồ Chí Minh,98.44
8049,11.694413341015606,1.0986122886681098,8.83927669058535,SH,11.6952282715884,Thái Lan,2,TP. Hồ Chí Minh,98.44
8050,10.46310334047155,0.0,7.313220387090301,Vision,10.451319901931214,Việt Nam,1,Hà Nội,100.0
8051,9.615805480084347,2.3978952727983707,11.98696469023332,Exciter,10.834863921828324,Việt Nam,1,Đồng Nai,93.54
8055,8.68270762989381,2.70805020110221,13.227722893061655,Wave,9.975342989636557,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8061,7.90100705199242,2.70805020110221,9.196748418456716,Wave,9.975342989636557,Việt Nam,1,Đà Nẵng,93.51
8063,9.95227771670556,2.5649493574615367,9.903487552536127,Exciter,10.834863921828324,Việt Nam,1,Hưng Yên,90.08
8064,9.104979856318357,2.4849066497880004,10.889696061373598,Exciter,10.834863921828324,Việt Nam,1,TP. Hồ Chí Minh,98.44
8070,7.824046010856292,3.091042453358316,12.206072645530174,Wave,9.975342989636557,Trung Quốc,2,TP. Hồ Chí Minh,98.44
8073,9.581903928408666,2.302585092994046,10.545341438708522,Exciter,10.834863921828324,Nhật Bản,3,Cần Thơ,91.26
8075,10.232791299678729,1.9459101490553132,8.981681639973862,Future,10.371614421769003,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8080,9.998797732340453,3.258096538021482,13.458835614025542,Wave,9.975342989636557,Thái Lan,2,Hà Nội,100.0
8082,9.392661928770137,2.4849066497880004,10.819778284410283,Exciter,10.834863921828324,Việt Nam,1,Thừa Thiên - Huế,93.65
8083,9.103868127465667,2.5649493574615367,10.714417768752456,Air Blade,10.826555268689306,Nhật Bản,3,Bình Dương,94.25
